Rank,Name,Total Cores,Rmax [TFlop/s],Rpeak [TFlop/s]
1,Summit,2414592,148600,200794.88
2,Sierra,1572480,94640,125712
3,Sunway TaihuLight,10649600,93014.59388,125435.904
4,Tianhe-2A,4981760,61444.5,100678.664
5,Frontera,448448,23516.4,38745.907
6,Piz Daint,387872,21230,27154.3
7,Trinity,979072,20158.7,41461.15
8,AI Bridging Cloud Infrastructure (ABCI),391680,19880,32576.63488
9,SuperMUC-NG,305856,19476.6,26873.856
10,Lassen,288288,18200,23047.2
11,PANGEA III,291024,17860,25025.81
12,Titan,560640,17590,27112.55
13,Sequoia,1572864,17173.224,20132.6592
14,Cori,622336,14014.7,27880.653
15,Nurion,570020,13929.3,25705.9
16,Oakforest-PACS,556104,13554.6,24913.459
17,HPC4,253600,12210,18621.138
18,Tera-1000-2,561408,11965.5,23396.352
19,Stampede2,367024,10680.7,18309.222
20,,705024,10510,11280.384
21,Marconi Intel Xeon Phi,348000,10384.9,18816
22,DGX SuperPOD,127488,9444,11209.114
23,Taiwania 2,170352,9000,15208.23
24,Mira,786432,8586.612,10066.33
25,TSUBAME3.0,135828,8125,12127.069
26,PupMaya,169920,7483.73,12902.4
27,,241920,7038.93,8128.512
28,Theta,280320,6920.9,11661.312
29,MareNostrum,153216,6470.8,10296.115
30,JUWELS Module 1,114480,6177.73,9891.072
31,Pleiades,241108,5951.55,7107.1488
32,,135792,5730.5,9125.222
33,,135792,5730.5,9125.222
34,Hazel Hen,185088,5640.17,7403.52
35,COBRA,127520,5612.83,9793.536
36,Shaheen II,196608,5536.99,7235.174
37,Electra,124416,5444.64,8316.518
38,Pangea,220800,5283.11,6712.32
39,Eagle,75600,4850.66,7257.6
40,Cheyenne,144900,4788.19,5332.32
41,ITO - Subsystem A,72000,4540.69,6912
42,Jean Zay,93960,4478,7345.562
43,Advanced Computing System(PreE),163840,4325,6134.1696
44,Vulcan,393216,4293.306,5033.165
45,Oakbridge-CX,76608,4289.85,6618.931
46,,70416,4128,5783.808
47,JOLIOT-CURIE SKL,79488,4065.55,6635.52
48,Abel,145920,4042.46,5369.856
49,,126468,3944.68,4249.325
50,,126468,3944.68,4249.325
51,TX-GAIA (Green AI Accelerator),86800,3902,6855.116
52,JURECA,155150,3782.57,6563.84
53,Pratyush,119232,3763.94,4006.195
54,,65208,3712,5365.0944
55,Joule 2.0,86400,3608.62,5750.784
56,,72800,3577,6131.84
57,,72800,3577,6131.84
58,ONYX,160304,3409.61,5865.5232
59,Topaz,124200,3318.95,4570.56
60,,60512,3307,4896.512
61,DGX Saturn V,60512,3307,4896.512
62,Orion,67240,3290.6,4733.69
63,Damson,113832,3243.41,3791.5776
64,Mustang,55296,3221.4,4777.574
65,HPC2,72000,3188,4605
66,SORA-MA,110160,3157,3481.056
67,,225984,3143.52,4881.2544
68,Thunder,152692,3126.24,5610.481
69,Niagara,60000,3074.19,4608
70,Camphor 2,122400,3057.35,5483.52
71,Circe,47808,3057,4241.448
72,Jean Zay,61120,3054.35,4867.2
73,Mistral,99072,3010.68,3962.88
74,Tetralith,64512,2969.19,4335.206
75,,92160,2910,3244.032
76,SuperMUC,147456,2897,3185.05
77,SuperMUC Phase 2,86016,2813.62,3578.266
78,,89856,2801.782,3019.162
79,,89856,2801.782,3019.162
80,JFRS-1,54560,2787.14,4190.208
81,TSUBAME 2.5,76032,2785,5735.68512
82,VSC-4,37920,2726.0779,3761.664
83,LLNL/NNSA CTS-1 Jade,95472,2632.51,3207.8592
84,LLNL CTS-1 Quartz,95472,2632.51,3207.8592
85,HPC3,66000,2592,3798.6
86,Mihir,83592,2570.4,2808.691
87,Tianhe-1A,186368,2566,4701
88,PAI-BSystem,50816,2547,4229.8496
89,cascade,194616,2539.13,3388.032
90,occigen2,85824,2494.65,3570.278
91,Excalibur,100064,2485,3682.3552
92,CLAIX (2018),61200,2483.58,4112.64
93,Lomonosov 2,64384,2478,4946.79
94,B1,60000,2462.4,4800
95,Centennial,73920,2443.7,2601.984
96,PAI-ASystem,48128,2435,4004.25
97,C1,59200,2433.83,4736
98,D1,58800,2421.62,4704
99,Nuri,69600,2395.68,2895.36
100,Miri,69600,2395.68,2895.36
101,E1,58000,2392.38,4640
102,Plasma Simulator,82944,2376,2621.03
103,Makman-3,53300,2322.46,3581.76
104,F1,56000,2317.95,4480
105,,55104,2287,4890
106,Béluga,72480,2278,7494.784
107,Cumulus,50176,2271.38,2688
108,Makman-2,76032,2249.68,3041.28
109,G1,54000,2242.94,4320
110,,67200,2192,4515.84
111,Prolix2,72000,2167.99,2534.4
112,H1,52000,2166.52,4160
113,Beaufix2,73440,2157.41,2585.088
114,,121920,2152,8973.312
115,,53760,2109,4652.032
116,I1,50000,2094,4000
117,ATERUI II ,40000,2089.98,3072
118,JD I1,52320,2074.04,4018.176
119,Tianhe-2 LvLiang Solution,174720,2071.39,3074.5344
120,J1,48000,2014.46,3840
121,,110880,2007,8160.768
122,Koehr,34560,2001.99,2985.984
123,Gaffney,34560,2001.99,2985.984
124,Grand Chariot,39760,2000,3053.568
125,TTSystem,116600,1997,4104.32
126,K1,47200,1983.15,3776
127,Gaïa,41472,1980.53,3052.339
128,HKVDPSystem,121920,1979,4096.512
129,HKVDPSystem,121920,1979,4096.512
130,bsystem,60800,1976,4085.76
131,Mogon II,49432,1967.81,2800.86998
132,Biowulf,66304,1966.08,2491.3728
133,MagicCube3,41472,1952,3472.486
134,,60240,1929.37,2409.6
135,CTcluster,54000,1928,3974.4
136,Amazon EC2 C5 Instance cluster us-east-1a,41472,1926.4,3981.312
137,,49680,1914.38,4292.352
138,Piz Daint Multicore,65268,1896.75,2193.005
139,A1,47040,1882.56,3612.672
140,Tera-1000-1,70272,1871,2586.01
141,bsystem,55040,1838,3698.688
142,Fênix,48384,1836,4297.421
143,,43200,1831.49,3456
144,scafellpike,80640,1829.86,4329.728
145,,66080,1828.02,4981.76
146,JGV100System,41760,1825,3353.184
147,Bank P A2,36000,1809.34,3021.6
148,Bank P A2,36000,1809.34,3021.6
149,JCSystem,110080,1807,3698.688
150,S1,33840,1804,2923.776
151,Beskow,67456,1802.51,2438.14
152,ESSystem,105000,1790,3696
153,Molecular Simulator,38552,1785.62,3072.768
154,R1,33120,1768.59,2861.568
155,,99360,1765,7312.896
156,Astra,138096,1758,2209.536
157,QURIOSITY,35280,1750.18,2709.504
158,CSystem,97920,1736,7206.912
159,Q1,32400,1735.66,2799.36
160,,38400,1729,3072
161,,38400,1729,3072
162,,38400,1729,3072
163,Internet Company T DD1,118400,1728.88,3978.24
164,Marconi Intel Xeon,54432,1723.89,2003.098
165,,39680,1714,3149.6
166,Puhti,40000,1706.73,2688
167,P1,31680,1703.508,2737.152
