time,latitude,longitude,mag,place
2019-11-15T10:56:03.650Z,35.7798333,-117.6033333,0.99,"18km W of Searles Valley, CA"
2019-11-15T10:53:59.280Z,35.6971667,-117.4825,0.74,"11km SW of Searles Valley, CA"
2019-11-15T10:49:45.433Z,62.3409,-148.2631,2,"68km NNE of Sutton-Alpine, Alaska"
2019-11-15T10:38:51.290Z,35.7478333,-117.5546667,0.83,"14km W of Searles Valley, CA"
2019-11-15T10:36:40.460Z,58.0039,-156.3938,3.1,"77km SSE of King Salmon, Alaska"
2019-11-15T10:31:37.220Z,35.6298333,-117.4303333,0.88,"16km S of Searles Valley, CA"
2019-11-15T10:30:49.428Z,65.0963,-148.1148,1.1,"28km N of Ester, Alaska"
2019-11-15T10:27:38.980Z,35.8408333,-117.6796667,0.75,"23km ESE of Little Lake, CA"
2019-11-15T10:18:59.628Z,60.1033,-151.9972,1.4,"37km NNW of Anchor Point, Alaska"
2019-11-15T10:08:04.640Z,35.7196667,-117.5493333,0.82,"14km WSW of Searles Valley, CA"
2019-11-15T10:07:57.424Z,61.2343,-150.1604,1.6,"14km W of Anchorage, Alaska"
2019-11-15T09:49:16.930Z,38.8291664,-122.8099976,1.67,"7km NW of The Geysers, CA"
2019-11-15T09:45:33.100Z,19.1958332,-155.4481659,2.06,"3km ESE of Pahala, Hawaii"
2019-11-15T09:45:06.670Z,35.8926667,-117.7281667,1.07,"17km ESE of Little Lake, CA"
2019-11-15T09:41:35.137Z,35.1066246,-95.33727264,2.47,"3km ESE of Quinton, Oklahoma"
2019-11-15T09:36:23.479Z,1.5436,126.4348,5,"133km NW of Kota Ternate, Indonesia"
2019-11-15T09:33:52.830Z,38.8033333,-122.8205032,0.32,"6km WNW of The Geysers, CA"
2019-11-15T09:24:10.030Z,38.8033333,-122.8225021,0.76,"6km WNW of The Geysers, CA"
2019-11-15T09:23:28.310Z,38.8043327,-122.8216629,1.05,"6km WNW of The Geysers, CA"
2019-11-15T09:16:45.360Z,33.2233333,-116.7296667,0.4,"4km ESE of Lake Henshaw, CA"
2019-11-15T09:13:59.640Z,37.6749992,-118.8778305,1.22,"10km ENE of Mammoth Lakes, CA"
2019-11-15T08:57:03.490Z,38.8025017,-122.8213348,1.8,"6km WNW of The Geysers, CA"
2019-11-15T08:31:38.516Z,60.9732,-149.7334,1.6,"28km SSE of Anchorage, Alaska"
2019-11-15T08:29:01.890Z,38.8341675,-122.793335,0.88,"6km WNW of Cobb, CA"
2019-11-15T08:28:12.840Z,33.4623333,-116.4165,0.44,"23km N of Borrego Springs, CA"
2019-11-15T08:21:29.820Z,34.1038333,-117.3075,0.92,"3km SSW of San Bernardino, CA"
2019-11-15T08:16:15.150Z,37.6703339,-118.8730011,0.82,"10km ENE of Mammoth Lakes, CA"
