Date,Hospital,Region,Trolley,Ward,Patients
2019-11-25,Beaumont,Dublin,10,12,22
2019-11-25,Temple St,Dublin,10,0,10
2019-11-25,Blanchardstown,Dublin,6,6,12
2019-11-25,Mater,Dublin,27,0,27
2019-11-25,Naas,Leinster,24,4,28
2019-11-25,NCH Tallaght,Dublin,0,1,1
2019-11-25,Crumlin,Dublin,10,0,10
2019-11-25,James,Dublin,5,0,5
2019-11-25,Vincents,Dublin,27,0,27
2019-11-25,Tallaght UH,Dublin,25,11,36
2019-11-25,Bantry,Munster,0,11,11
2019-11-25,Cavan,Ulster,1,5,6
2019-11-25,Cork UH,Munster,36,16,52
2019-11-25,Letterkenny,Ulster,13,34,47
2019-11-25,Mayo,Connacht,11,12,23
2019-11-25,Mercy Cork,Munster,18,0,18
2019-11-25,Ennis,Munster,0,4,4
2019-11-25,Mullingar,Leinster,17,0,17
2019-11-25,Portlaoise,Leinster,2,0,2
2019-11-25,Tullamore,Leinster,2,0,2
2019-11-25,Nenagh,Munster,0,2,2
2019-11-25,Drogheda,Leinster,11,0,11
2019-11-25,Navan,Leinster,13,0,13
2019-11-25,Portiuncula,Connacht,14,0,14
2019-11-25,Sligo,Connacht,11,4,15
2019-11-25,South Tipperary,Munster,15,9,24
2019-11-25,Kilkenny,Leinster,11,5,16
2019-11-25,Galway,Connacht,22,11,33
2019-11-25,Kerry,Munster,23,0,23
2019-11-25,Waterford,Munster,19,7,26
2019-11-25,Limerick,Munster,55,30,85
2019-11-25,Wexford,Leinster,6,3,9
2019-11-26,Beaumont,Dublin,21,13,34
2019-11-26,Temple St,Dublin,9,0,9
2019-11-26,Blanchardstown,Dublin,8,6,14
2019-11-26,Mater,Dublin,39,0,39
2019-11-26,Naas,Leinster,22,5,27
2019-11-26,NCH Tallaght,Dublin,0,4,4
2019-11-26,Crumlin,Dublin,10,8,18
2019-11-26,James,Dublin,13,0,13
2019-11-26,Vincents,Dublin,27,0,27
2019-11-26,Tallaght UH,Dublin,19,13,32
2019-11-26,Bantry,Munster,0,4,4
2019-11-26,Cavan,Ulster,1,5,6
2019-11-26,Cork UH,Munster,40,20,60
2019-11-26,Letterkenny,Ulster,3,22,25
2019-11-26,Mayo,Connacht,14,4,18
2019-11-26,Mercy Cork,Munster,12,0,12
2019-11-26,Ennis,Munster,0,0,0
2019-11-26,Mullingar,Leinster,10,0,10
2019-11-26,Portlaoise,Leinster,5,0,5
2019-11-26,Tullamore,Leinster,4,0,4
2019-11-26,Nenagh,Munster,0,5,5
2019-11-26,Drogheda,Leinster,13,1,14
2019-11-26,Navan,Leinster,5,4,9
2019-11-26,Portiuncula,Connacht,7,6,13
2019-11-26,Sligo,Connacht,14,6,20
2019-11-26,South Tipperary,Munster,15,8,23
2019-11-26,Kilkenny,Leinster,17,16,33
2019-11-26,Galway,Connacht,21,18,39
2019-11-26,Kerry,Munster,24,0,24
2019-11-26,Waterford,Munster,29,8,37
2019-11-26,Limerick,Munster,46,29,75
2019-11-26,Wexford,Leinster,7,0,7
2019-11-27,Beaumont,Dublin,20,14,34
2019-11-27,Temple St,Dublin,11,0,11
2019-11-27,Blanchardstown,Dublin,5,6,11
2019-11-27,Mater,Dublin,36,0,36
2019-11-27,Naas,Leinster,22,4,26
2019-11-27,NCH Tallaght,Dublin,2,0,2
2019-11-27,Crumlin,Dublin,8,7,15
2019-11-27,James,Dublin,13,0,13
2019-11-27,Vincents,Dublin,19,0,19
2019-11-27,Tallaght UH,Dublin,23,16,39
2019-11-27,Bantry,Munster,0,8,8
2019-11-27,Cavan,Ulster,6,9,15
2019-11-27,Cork UH,Munster,44,15,59
2019-11-27,Letterkenny,Ulster,10,28,38
2019-11-27,Mayo,Connacht,10,9,19
2019-11-27,Mercy Cork,Munster,23,0,23
2019-11-27,Ennis,Munster,0,3,3
2019-11-27,Mullingar,Leinster,13,0,13
2019-11-27,Portlaoise,Leinster,0,0,0
2019-11-27,Tullamore,Leinster,5,0,5
2019-11-27,Nenagh,Munster,0,6,6
2019-11-27,Drogheda,Leinster,7,0,7
2019-11-27,Navan,Leinster,3,4,7
2019-11-27,Portiuncula,Connacht,4,2,6
2019-11-27,Sligo,Connacht,23,7,30
2019-11-27,South Tipperary,Munster,18,7,25
2019-11-27,Kilkenny,Leinster,10,5,15
2019-11-27,Galway,Connacht,32,17,49
2019-11-27,Kerry,Munster,13,0,13
2019-11-27,Waterford,Munster,21,8,29
2019-11-27,Limerick,Munster,35,38,73
2019-11-27,Wexford,Leinster,5,0,5
2019-11-28,Beaumont,Dublin,17,11,28
2019-11-28,Temple St,Dublin,5,0,5
2019-11-28,Blanchardstown,Dublin,8,6,14
2019-11-28,Letterkenny,Ulster,5,26,31
2019-11-28,Mater,Dublin,41,0,41
2019-11-28,Mayo,Connacht,6,2,8
2019-11-28,Mercy Cork,Munster,31,0,31
2019-11-28,Naas,Leinster,12,4,16
2019-11-28,NCH Tallaght,Dublin,0,5,5
2019-11-28,Crumlin,Dublin,7,0,7
2019-11-28,James,Dublin,20,0,20
2019-11-28,Vincents,Dublin,11,0,11
2019-11-28,Tallaght UH,Dublin,19,12,31
2019-11-28,Bantry,Munster,0,10,10
2019-11-28,Cavan,Ulster,3,10,13
2019-11-28,Cork UH,Munster,42,12,54
2019-11-28,Ennis,Munster,0,0,0
