System ID,Name,Manufacturer,Country,Year,Segment,Total Cores,Rmax
177259,Pleiades,HPE,United States,2016,Research,241108,5951.55
177824,Piz Daint,HPE,Switzerland,2017,Research,387872,21230
177999,Tianhe-2A,NUDT,China,2018,Research,4981760,61444.5
178071,Pangea,HPE,France,2013,Industry,220800,5283.11
178083,Palmetto2,DELL,United States,2022,Academic,52080,3011
178250,cascade,Atipa,United States,2013,Research,194616,2539.13
178425,HPC2,IBM,Italy,2014,Industry,72000,3188
178431,,HPE,United Kingdom,2016,Research,126468,3944.68
178432,,HPE,United States,2014,Government,225984,3143.52
178444,Lomonosov 2,T-Platforms,Russia,2014,Academic,64384,2478
178445,,HPE,United States,2014,Government,72800,3577
178447,Excalibur,HPE,United States,2014,Government,100064,2485
178519,,HPE,United States,2015,Government,72800,3577
178523,Topaz,HPE,United States,2015,Research,124200,3318.95
178524,Thunder,HPE,United States,2015,Government,152692,3126.24
178544,SuperMUC Phase 2,Lenovo/IBM,Germany,2015,Academic,86016,2813.62
178556,Abel,HPE,United States,2015,Industry,145920,4042.46
178567,Mistral,EVIDEN,Germany,2015,Research,99072,3010.68
178749,,HPE,United Kingdom,2016,Research,126468,3944.68
178751,,HPE,United Kingdom,2016,Research,89856,2801.78
178752,,HPE,United Kingdom,2016,Research,89856,2801.78
178764,Sunway TaihuLight,NRCPC,China,2016,Research,10649600,93014.59
178925,,HPE,United Kingdom,2016,Research,241920,7038.93
178926,Theta,HPE,United States,2017,Research,280320,6920.9
178927,Camphor 2,HPE,Japan,2016,Academic,122400,3057.35
178928,DGX Saturn V,Nvidia,United States,2018,Vendor,87040,3998
178965,Cheyenne,HPE,United States,2016,Research,144900,4788.19
178969,LLNL/NNSA CTS-1 Jade,Penguin Computing,United States,2016,Research,95472,2632.51
178971,LLNL CTS-1 Quartz,Penguin Computing,United States,2016,Research,95472,2632.51
179045,Stampede2,DELL,United States,2017,Academic,367024,10680.7
179067,MareNostrum,Lenovo,Spain,2017,Academic,153216,6470.8
179068,,Self-made,United States,2017,Industry,60512,3307
179071,HPC3,Lenovo,Italy,2017,Industry,66000,2592
179092,occigen2,EVIDEN,France,2016,Academic,85824,2494.65
179100,ONYX,HPE,United States,2017,Research,211816,6316.03
179105,Centennial,HPE,United States,2017,Research,73920,2443.7
179398,Sierra,IBM / NVIDIA / Mellanox,United States,2018,Research,1572480,94640
179408,Niagara,Lenovo,Canada,2017,Research,80640,3599.66
179409,Damson,EVIDEN,United Kingdom,2017,Research,113832,3243.41
